Ntc	Nli	Nbr	Nla	Nmu	NA1	NA2	NA3	NA4	t1	t2	t3	t4	Mmu2la	Mla2mu	Mli2la	Mla2li	Mli2tc	Mtc2li	Mmu2li	Mli2mu	Mla2tc	Mtc2la	Mli2br	Mbr2li	MaxEstLhood	MaxObsLhood
1192	4681	7328	37761	25040	76622	96151	114842	840369	4140	5805	11891	13875	3.35E-05	6.39E-06	5.08E-06	1.90E-05	6.25E-04	3.06E-06	2.09E-05	2.21E-05	3.28E-06	3.12E-06	6.21E-05	3.75E-05	-4607054.22	-4564458.455
1585	3098	17129	41887	7112	3080	14108	72765	917111	1558	9327	11497	13890	2.93E-04	5.55E-06	6.94E-05	2.44E-05	2.87E-04	3.22E-06	7.76E-05	2.43E-05	1.67E-05	3.77E-06	1.00E-04	9.14E-06	-4639226.06	-4574246.811
1500	11349	14350	39772	29828	4162	16477	181353	785522	3564	8966	10909	13914	3.11E-05	2.81E-06	1.71E-05	4.70E-06	2.25E-04	1.24E-06	1.55E-05	8.30E-06	1.20E-05	2.55E-06	3.90E-05	7.46E-06	-4608382.349	-4565329.491
1208	7816	8526	33368	24178	2616	43629	174849	825360	3998	4950	10019	13965	3.79E-05	1.05E-05	9.41E-06	8.23E-06	4.58E-04	8.31E-06	2.68E-05	6.25E-06	1.09E-05	2.96E-06	4.83E-05	9.98E-06	-4624047.525	-4581639.244
1143	1760	6284	43110	29603	1241	94061	232797	782635	920	4278	10533	13989	9.78E-05	2.78E-06	9.33E-05	5.12E-06	3.48E-04	2.03E-06	5.23E-05	6.15E-05	3.81E-05	1.72E-06	1.92E-04	4.97E-05	-4617885.663	-4570207.569
1078	5576	6767	44589	26810	20469	187752	28618	853584	4276	5238	13289	14052	2.41E-05	8.94E-06	7.22E-06	4.32E-06	5.75E-04	5.78E-06	2.58E-05	1.40E-05	9.85E-06	4.64E-06	5.80E-05	4.05E-05	-4613598.757	-4569870.636
1525	3020	10105	60035	4684	1823	71354	58971	767363	1361	6101	13256	14075	4.08E-04	2.56E-06	5.91E-05	1.74E-05	1.82E-04	5.06E-06	1.24E-04	3.19E-05	9.12E-06	1.87E-06	1.15E-04	1.89E-05	-4637195.805	-4569908.014
1078	8186	12078	43281	30937	5252	45500	306522	769213	3685	7821	11666	14132	2.86E-05	9.30E-06	1.19E-05	5.51E-06	3.84E-04	9.18E-06	1.67E-05	1.25E-05	7.44E-06	4.45E-06	4.37E-05	1.24E-05	-4606511.015	-4564940.356
1327	6953	10428	41532	29205	4054	53324	116165	769544	4081	6980	12656	14132	2.77E-05	1.23E-05	2.00E-05	5.71E-06	4.28E-04	1.57E-06	1.91E-05	1.28E-05	1.08E-05	3.24E-06	5.26E-05	1.80E-05	-4601701.257	-4560636.781
1157	6274	14577	43588	25850	9774	23553	149892	787774	3266	9827	11682	14150	3.62E-05	9.67E-06	1.48E-05	3.75E-06	4.94E-04	7.72E-06	2.74E-05	1.88E-05	8.01E-06	1.57E-06	5.46E-05	1.80E-05	-4615406.481	-4572595.192
1123	6905	16440	40691	24393	34342	10603	221144	821281	4152	10468	11692	14156	3.53E-05	2.82E-06	4.98E-06	7.20E-06	4.89E-04	3.85E-06	2.39E-05	1.24E-05	9.20E-06	4.41E-06	4.04E-05	1.29E-05	-4621325.718	-4578771.499
1971	1715	18467	50057	11068	2649	19505	91726	804220	1680	10383	13038	14191	2.50E-04	2.38E-06	9.11E-05	9.55E-06	6.41E-04	1.42E-05	7.97E-05	5.18E-05	2.38E-05	3.99E-06	1.58E-04	5.24E-06	-4633925.061	-4574223.098
1139	6289	6408	37544	28516	1597	173043	160441	781189	3482	4519	9825	14205	2.93E-05	7.78E-06	1.59E-05	6.45E-06	4.69E-04	7.10E-06	2.35E-05	8.47E-06	1.13E-05	2.20E-06	5.75E-05	3.05E-05	-4614437.91	-4572185.302
1579	1666	9388	41889	27957	1632	87072	178013	843395	2474	6141	12602	14212	3.65E-05	1.34E-05	8.52E-05	2.75E-06	9.69E-04	1.01E-05	2.43E-05	6.13E-05	1.78E-05	2.78E-06	1.79E-04	1.97E-05	-4609246.941	-4563204.443
1136	7712	11806	39343	24835	153729	45453	183029	796356	5986	8088	11117	14218	2.77E-05	5.92E-06	9.21E-06	7.71E-06	3.71E-04	2.69E-05	1.78E-05	8.04E-06	5.58E-06	4.88E-06	3.54E-05	1.37E-05	-4622360.691	-4580431.924
1090	9757	10924	42481	25983	16734	55485	122401	834453	5045	7456	12635	14218	2.44E-05	8.99E-06	4.59E-06	9.85E-06	3.69E-04	1.52E-05	2.39E-05	7.41E-06	5.95E-06	2.99E-06	2.54E-05	1.86E-05	-4606434.972	-4564552.283
1092	4553	6370	35319	25781	3982	113825	250693	812743	3584	4577	10345	14222	3.41E-05	9.11E-06	1.41E-05	1.28E-05	6.26E-04	4.94E-06	2.43E-05	1.85E-05	6.24E-06	1.80E-06	7.18E-05	3.18E-05	-4612318.261	-4570195.936
1325	1485	7254	25026	34055	1198	19487	574615	772361	812	4364	6253	14241	7.68E-05	9.38E-06	1.35E-04	3.33E-05	5.87E-04	3.28E-06	5.89E-05	7.19E-05	1.16E-05	5.48E-06	2.24E-04	2.97E-05	-4609061.27	-4562226.354
1100	1993	10549	51635	32951	4258	176483	101504	753993	2846	7620	13390	14279	2.78E-05	6.76E-06	6.93E-05	1.07E-05	8.59E-04	1.83E-06	1.44E-05	4.48E-05	3.50E-06	3.08E-06	1.43E-04	2.34E-05	-4622157.672	-4577260.847
1083	9089	10327	46088	29790	5660	65861	80030	753372	3851	6543	12658	14301	3.08E-05	5.17E-06	7.52E-06	8.41E-06	4.35E-04	1.31E-05	1.64E-05	7.69E-06	5.40E-06	5.12E-06	3.94E-05	1.23E-05	-4612810.069	-4570539.81
1116	6821	10950	39923	27241	81128	74874	96713	814703	4547	9124	12690	14342	2.66E-05	8.72E-06	6.74E-06	1.46E-05	5.00E-04	8.58E-06	2.46E-05	5.90E-06	5.82E-06	6.06E-06	4.45E-05	3.32E-05	-4613459.814	-4571157.964
1269	3961	8989	32635	30135	2751	87387	422157	795567	2780	6610	10024	14350	4.18E-05	1.35E-05	4.24E-05	9.70E-06	5.61E-04	1.96E-06	2.09E-05	2.52E-05	1.09E-05	3.57E-06	9.18E-05	2.56E-05	-4605038.022	-4561388.892
2004	1709	8215	41702	30734	1236	65002	275642	832160	1073	5002	12104	14352	8.65E-05	1.98E-05	1.09E-04	3.92E-05	3.74E-04	1.13E-05	3.11E-05	5.74E-05	3.35E-06	2.87E-06	1.68E-04	2.34E-05	-4622569.247	-4574144.846
1116	5146	16214	48837	28657	25488	33783	348277	754961	3639	9900	13650	14367	2.93E-05	3.97E-06	1.96E-05	3.71E-06	5.92E-04	6.94E-06	2.66E-05	1.62E-05	1.51E-05	3.59E-06	4.76E-05	1.18E-05	-4612433.93	-4569552.329
